Schluessel,Zeile,Von,Bis,Behinderung,hatTatbestandBE,hatZusatzinformationTatbestandstabelle,gehoertZuTatbestandstabelleBE
'229','3','1','999','N','112154','4','712006'
'230','4','1','999','J','112155','4','712006'
'231','1','0','1','N','112160','1','712007'
'232','2','0','1','J','112161','1','712007'
'233','3','0','1','N','112162','2','712007'
'234','4','0','1','J','112163','2','712007'
'235','5','1','999','N','112164','4','712007'
'236','6','1','999','J','112165','4','712007'
'237','1','0','1','N','112170','1','712008'
'238','2','0','1','J','112171','1','712008'
'239','3','0','1','N','112172','2','712008'
'240','4','0','1','J','112173','2','712008'
'241','5','1','999','N','112174','4','712008'
'242','6','1','999','J','112175','4','712008'
'243','1','0','1','N','112180','1','712009'
'244','2','0','1','J','112181','1','712009'
'245','3','0','1','N','112182','2','712009'
'246','4','0','1','J','112183','2','712009'
'247','5','1','999','N','112184','4','712009'
'248','6','1','999','J','112185','4','712009'
'249','1','0','1','N','112190','1','712010'
'250','2','0','1','J','112191','1','712010'
'251','3','0','1','N','112192','2','712010'
'252','4','0','1','J','112193','2','712010'
'253','5','1','999','N','112194','4','712010'
'254','6','1','999','J','112195','4','712010'
'255','1','0','1','N','112200','1','712011'
'256','2','0','1','J','112201','1','712011'
'257','3','0','1','N','112202','2','712011'
'258','4','0','1','J','112203','2','712011'
'259','5','1','999','N','112204','4','712011'
'260','6','1','999','J','112205','4','712011'
'261','1','0','999','N','112210','1','712012'
'262','2','0','999','J','112211','1','712012'
'263','3','0','999','N','112216','2','712012'
'264','1','0','3','N','112022','2','712013'
'265','2','0','3','J','112023','2','712013'
'266','3','3','999','N','112024','5','712013'
'267','4','3','999','J','112025','5','712013'
'268','1','0','3','N','112032','2','712014'
'269','2','0','3','J','112033','2','712014'
'270','3','3','999','N','112034','5','712014'
'271','4','3','999','J','112035','5','712014'
'272','1','0','1','N','112222','2','712015'
'273','2','0','1','J','112223','2','712015'
'274','3','1','999','N','112224','4','712015'
'275','4','1','999','J','112225','4','712015'
'276','1','0','1','N','112232','2','712016'
'277','2','0','1','J','112233','2','712016'
'278','3','1','999','N','112234','4','712016'
'279','4','1','999','J','112235','4','712016'
'280','1','0','1','N','112242','2','712017'
'281','2','0','1','J','112243','2','712017'
'282','3','1','999','N','112244','4','712017'
'283','4','1','999','J','112245','4','712017'
'284','1','0','1','N','112252','2','712018'
'285','2','0','1','J','112253','2','712018'
'286','3','1','999','N','112254','4','712018'
'287','4','1','999','J','112255','4','712018'
'288','1','0','1','N','112262','2','712019'
'289','2','0','1','J','112263','2','712019'
'290','3','1','999','N','112264','5','712019'
'291','4','1','999','J','112265','5','712019'
'292','1','0','3','N','112272','2','712020'
'293','2','0','3','J','112273','2','712020'
'294','3','3','999','N','112274','5','712020'
'295','4','3','999','J','112275','5','712020'
'296','1','0','3','N','112282','2','712021'
'297','2','0','3','J','112283','2','712021'
'298','3','3','999','N','112284','5','712021'
'299','4','3','999','J','112285','5','712021'
'300','1','0','3','N','112292','2','712022'
'301','2','0','3','J','112293','2','712022'
'302','3','3','999','N','112294','5','712022'
'303','4','3','999','J','112295','5','712022'
'304','1','0','3','N','112302','2','712023'
'305','2','0','3','J','112303','2','712023'
'306','3','3','999','N','112304','5','712023'
'307','4','3','999','J','112305','5','712023'
'308','1','0','3','N','112312','2','712024'
'309','2','0','3','J','112313','2','712024'
'310','3','3','999','N','112314','5','712024'
'311','4','3','999','J','112315','5','712024'
'312','1','0','3','N','112322','2','712025'
'313','2','0','3','J','112323','2','712025'
'314','3','3','999','N','112324','5','712025'
'315','4','3','999','J','112325','5','712025'
'316','1','0','3','N','112332','2','712026'
'317','2','0','3','J','112333','2','712026'
'318','3','3','999','N','112334','5','712026'
'319','4','3','999','J','112335','5','712026'
'320','1','0','3','N','112342','2','712027'
'321','2','0','3','J','112343','2','712027'
'322','3','3','999','N','112344','5','712027'
'323','4','3','999','J','112345','5','712027'
'324','1','0','3','N','112352','2','712028'
'325','2','0','3','J','112353','2','712028'
'326','3','3','999','N','112354','5','712028'
'327','4','3','999','J','112355','5','712028'
'328','1','0','3','N','112372','2','712029'
'329','2','0','3','J','112373','2','712029'
'330','3','3','999','N','112374','5','712029'
'331','4','3','999','J','112375','5','712029'
'332','1','0','1','N','112040','1','712030'
'333','2','0','1','J','112041','1','712030'
'334','3','0','1','N','112042','2','712030'
'335','4','0','1','J','112043','2','712030'
'336','5','1','999','N','112044','4','712030'
'337','6','1','999','J','112045','4','712030'
'338','1','0','1','N','112050','1','712031'
'339','2','0','1','J','112051','1','712031'
'340','3','0','1','N','112402','2','712031'
'341','4','0','1','J','112403','2','712031'
'342','5','1','999','N','112404','4','712031'
'343','6','1','999','J','112405','4','712031'
'344','1','0','1','N','112060','1','712032'
'345','2','0','1','J','112061','1','712032'
'346','3','0','1','N','112062','2','712032'
'347','4','0','1','J','112063','2','712032'
'348','5','1','999','N','112064','4','712032'
'349','6','1','999','J','112065','4','712032'
'350','1','0','0,25','N','112410','1','712033'
'351','2','0','0,25','J','112411','1','712033'
'352','3','0','0,25','N','112412','2','712033'
'353','4','0','0,25','J','112413','2','712033'
'354','5','0,25','999','N','112414','3','712033'
'355','6','0,25','999','J','112415','3','712033'
'356','1','0','999','N','112426','1','712034'
'357','2','0','999','J','112427','1','712034'
'358','3','0','999','N','112428','2','712034'
'359','4','0','999','J','112429','2','712034'
'360','1','0','1','N','112432','2','712035'
'361','2','0','1','J','112433','2','712035'
'362','3','1','999','N','112434','4','712035'
'363','4','1','999','J','112435','4','712035'
'364','1','0','1','N','112452','2','712036'
'365','2','0','1','J','112453','2','712036'
'366','3','1','999','N','112454','4','712036'
'367','4','1','999','J','112455','4','712036'
'368','1','0','0,5','N','113100','','713000'
'369','2','0,5','1','N','113101','','713000'
'370','3','1','2','N','113102','','713000'
'371','4','2','3','N','113103','','713000'
'372','5','3','999','N','113104','','713000'
'373','1','0','0,5','N','113120','','713001'
'374','2','0,5','1','N','113121','','713001'
'375','3','1','2','N','113122','','713001'
'376','4','2','3','N','113123','','713001'
'377','5','3','999','N','113124','','713001'
'378','1','0','0,5','N','113140','','713002'
'379','2','0,5','1','N','113141','','713002'
'380','3','1','2','N','113142','','713002'
'381','4','2','3','N','113143','','713002'
'382','5','3','999','N','113144','','713002'
'383','1','0','0,5','N','113160','','713003'
'384','2','0,5','1','N','113161','','713003'
'385','3','1','2','N','113162','','713003'
'386','4','2','3','N','113163','','713003'
'387','5','3','999','N','113164','','713003'
'388','1','0','0,5','N','113180','','713004'
'389','2','0,5','1','N','113181','','713004'
'390','3','1','2','N','113182','','713004'
'391','4','2','3','N','113183','','713004'
'392','5','3','999','N','113184','','713004'
'393','1','0','0,5','N','113200','','713005'
'394','2','0,5','1','N','113201','','713005'
'395','3','1','2','N','113202','','713005'
'396','4','2','3','N','113203','','713005'
'397','5','3','999','N','113204','','713005'
'398','1','0','0,5','N','113220','','713006'
'399','2','0,5','1','N','113221','','713006'
'400','3','1','2','N','113222','','713006'
'401','4','2','3','N','113223','','713006'
'402','5','3','999','N','113224','','713006'
'403','1','0','0,5','N','113240','','713007'
'404','2','0,5','1','N','113241','','713007'
'405','3','1','2','N','113242','','713007'
'406','4','2','3','N','113243','','713007'
'407','5','3','999','N','113244','','713007'
'408','1','0','0,5','N','113260','','713008'
'409','2','0,5','1','N','113261','','713008'
'410','3','1','2','N','113262','','713008'
'411','4','2','3','N','113263','','713008'
'412','5','3','999','N','113264','','713008'
'413','1','0','0,5','N','113280','','713009'
'414','2','0,5','1','N','113281','','713009'
'415','3','1','2','N','113282','','713009'
'416','4','2','3','N','113283','','713009'
'417','5','3','999','N','113284','','713009'
'418','1','0','0,5','N','113300','','713010'
'419','2','0,5','1','N','113301','','713010'
'420','3','1','2','N','113302','','713010'
'421','4','2','3','N','113303','','713010'
'422','5','3','999','N','113304','','713010'
'423','1','0','0,5','N','113320','','713011'
'424','2','0,5','1','N','113321','','713011'
'425','3','1','2','N','113322','','713011'
'426','4','2','3','N','113323','','713011'
'427','5','3','999','N','113324','','713011'
'428','1','0','10','N','118160','','718000'
'429','2','11','15','N','118161','','718000'
'430','3','16','20','N','118632','','718000'
'431','4','21','25','N','118633','','718000'
'432','5','26','30','N','118634','','718000'
'433','6','31','40','N','118635','','718000'
'434','7','41','50','N','118636','','718000'
'435','8','51','60','N','118637','','718000'
'436','9','60','999','N','118638','','718000'
'437','9','61','999','N','118650','','718001'
'438','1','0','10','N','118166','','718001'
'439','2','11','15','N','118167','','718001'
'440','3','16','20','N','118644','','718001'
'441','4','21','25','N','118645','','718001'
'442','5','26','30','N','118646','','718001'
'443','6','31','40','N','118647','','718001'
'444','7','41','50','N','118648','','718001'
'445','8','51','60','N','118649','','718001'
'446','1','0','10','N','118172','','718002'
'447','2','11','15','N','118173','','718002'
'448','3','16','20','N','118174','','718002'
'449','4','21','25','N','118654','','718002'
'450','5','26','30','N','118655','','718002'
'451','6','31','40','N','118656','','718002'
'452','7','41','50','N','118657','','718002'
'453','8','51','60','N','118658','','718002'
'454','9','61','70','N','118659','','718002'
'455','10','71','999','N','118660','','718002'
'456','1','0','15','N','118630','6','718005'
'457','2','0','15','N','118631','7','718005'
'458','1','0','15','N','118642','6','718006'
'459','2','0','15','N','118643','7','718006'
'460','1','0','10','N','120106','','720000'
'461','2','11','15','N','120107','','720000'
'462','3','16','20','N','120618','','720000'
'463','4','21','25','N','120619','','720000'
'464','5','26','30','N','120620','','720000'
'465','6','31','40','N','120621','','720000'
'466','7','41','50','N','120622','','720000'
'467','8','51','60','N','120623','','720000'
'468','9','61','999','N','120624','','720000'
'469','1','0','10','N','120112','','720001'
'470','2','11','15','N','120113','','720001'
'471','3','16','20','N','120630','','720001'
'472','4','21','25','N','120631','','720001'
'473','5','26','30','N','120632','','720001'
'474','6','31','40','N','120633','','720001'
'475','7','41','50','N','120634','','720001'
'476','8','51','60','N','120635','','720001'
'477','9','61','999','N','120636','','720001'
'478','1','0','10','N','120118','','720002'
'479','2','11','15','N','120119','','720002'
'480','3','16','20','N','120642','','720002'
'481','4','21','25','N','120643','','720002'
'482','5','26','30','N','120644','','720002'
'483','6','31','40','N','120645','','720002'
'484','7','41','50','N','120646','','720002'
'485','8','51','60','N','120647','','720002'
'486','9','61','999','N','120648','','720002'
'487','1','0','10','N','120124','','720003'
'488','2','11','15','N','120125','','720003'
'489','3','16','20','N','120654','','720003'
'490','4','21','25','N','120655','','720003'
'491','5','26','30','N','120656','','720003'
'492','6','31','40','N','120657','','720003'
'493','7','41','50','N','120658','','720003'
'494','8','51','60','N','120659','','720003'
'495','9','61','999','N','120660','','720003'
'496','1','0','10','N','120130','','720004'
'497','2','11','15','N','120131','','720004'
'498','3','16','20','N','120132','','720004'
'499','4','21','25','N','120666','','720004'
'500','5','26','30','N','120667','','720004'
'501','6','31','40','N','120668','','720004'
'502','7','41','50','N','120669','','720004'
'503','8','51','60','N','120670','','720004'
'504','9','61','70','N','120671','','720004'
'505','10','71','999','N','120672','','720004'
'506','1','0','10','N','120136','','720005'
'507','2','11','15','N','120137','','720005'
'508','3','16','20','N','120138','','720005'
'509','4','21','25','N','120678','','720005'
'510','5','26','30','N','120679','','720005'
'511','6','31','40','N','120680','','720005'
'512','7','41','50','N','120681','','720005'
'513','8','51','60','N','120682','','720005'
'514','9','61','70','N','120683','','720005'
'515','10','71','999','N','120684','','720005'
'516','1','0','10','N','120154','','720006'
'517','2','11','15','N','120155','','720006'
'518','3','16','20','N','120768','','720006'
'519','4','21','25','N','120769','','720006'
'520','5','26','30','N','120770','','720006'
'521','6','31','40','N','120771','','720006'
'522','7','41','50','N','120772','','720006'
'523','8','51','60','N','120773','','720006'
'524','9','61','999','N','120774','','720006'
'525','1','0','10','N','120160','','720007'
'526','2','11','15','N','120161','','720007'
'527','3','16','20','N','120778','','720007'
'528','4','21','25','N','120779','','720007'
'529','5','26','30','N','120780','','720007'
'530','6','31','40','N','120781','','720007'
'531','7','41','50','N','120782','','720007'
'532','8','51','60','N','120783','','720007'
'533','9','61','999','N','120784','','720007'
'534','1','0','10','N','120166','','720008'
'535','2','11','15','N','120167','','720008'
'536','3','16','20','N','120790','','720008'
'537','4','21','25','N','120791','','720008'
'538','5','26','30','N','120792','','720008'
'539','6','31','40','N','120793','','720008'
'540','7','41','50','N','120794','','720008'
'541','8','51','60','N','120795','','720008'
'542','9','61','999','N','120796','','720008'
'543','1','0','10','N','120172','','720009'
'544','2','11','15','N','120173','','720009'
'545','3','16','20','N','120802','','720009'
'546','4','21','25','N','120803','','720009'
'547','5','26','30','N','120804','','720009'
'548','6','31','40','N','120805','','720009'
'549','7','41','50','N','120806','','720009'
'550','8','51','60','N','120807','','720009'
'551','9','61','999','N','120808','','720009'
'552','1','0','10','N','120178','','720010'
'553','2','11','15','N','120179','','720010'
'554','3','16','20','N','120180','','720010'
'555','4','21','25','N','120814','','720010'
'556','5','26','30','N','120815','','720010'
'557','6','31','40','N','120816','','720010'
'558','7','41','50','N','120817','','720010'
'559','8','51','60','N','120818','','720010'
'560','9','61','70','N','120819','','720010'
'561','10','71','999','N','120820','','720010'
'562','1','0','10','N','120184','','720011'
'563','2','11','15','N','120185','','720011'
'564','3','16','20','N','120186','','720011'
'565','4','21','25','N','120826','','720011'
'566','5','26','30','N','120827','','720011'
'567','6','31','40','N','120828','','720011'
'568','7','41','50','N','120829','','720011'
'569','8','51','60','N','120830','','720011'
'570','9','61','70','N','120831','','720011'
'571','10','71','999','N','120832','','720011'
'572','1','2','5','N','331130','','731000'
'573','2','5','10','N','331784','','731000'
'574','3','10','15','N','331785','','731000'
'575','4','15','20','N','331786','','731000'
'576','5','20','25','N','331787','','731000'
'577','6','25','999','N','331788','','731000'
'578','1','5','10','N','331790','','731001'
'579','2','10','15','N','331791','','731001'
'580','3','15','20','N','331792','','731001'
'581','4','20','25','N','331793','','731001'
'582','5','25','999','N','331794','','731001'
'583','1','5','10','N','331796','','731002'
'584','2','10','15','N','331797','','731002'
'585','3','15','20','N','331798','','731002'
'586','4','20','25','N','331799','','731002'
'587','5','25','999','N','331800','','731002'
'588','1','2','5','N','331148','','731003'
'589','2','5','10','N','331802','','731003'
'590','3','10','15','N','331803','','731003'
'591','4','15','20','N','331804','','731003'
'592','5','20','25','N','331805','','731003'
'593','6','25','999','N','331806','','731003'
'594','1','5','10','N','331808','','731004'
'595','2','10','15','N','331809','','731004'
'596','3','15','20','N','331810','','731004'
'597','4','20','25','N','331811','','731004'
'598','5','25','999','N','331812','','731004'
'599','1','5','10','N','331814','','731005'
'600','2','10','15','N','331815','','731005'
'601','3','15','20','N','331816','','731005'
'602','4','20','25','N','331817','','731005'
'603','5','25','999','N','331818','','731005'
'604','1','2','5','N','331166','','731010'
'605','2','5','10','N','331820','','731010'
'606','3','10','15','N','331821','','731010'
'607','4','15','20','N','331822','','731010'
'608','5','20','25','N','331823','','731010'
'609','6','25','999','N','331824','','731010'
'610','1','5','10','N','331826','','731011'
'611','2','10','15','N','331827','','731011'
'612','3','15','20','N','331828','','731011'
'613','4','20','25','N','331829','','731011'
'614','5','25','999','N','331830','','731011'
'615','1','2','5','N','331178','','731012'
'616','2','5','10','N','331832','','731012'
'617','3','10','15','N','331833','','731012'
'618','4','15','20','N','331834','','731012'
'619','5','20','25','N','331835','','731012'
'620','6','25','999','N','331836','','731012'
'621','1','5','10','N','331838','','731013'
'622','2','10','15','N','331839','','731013'
'623','3','15','20','N','331840','','731013'
'624','4','20','25','N','331841','','731013'
'625','5','25','999','N','331842','','731013'
'626','1','5','10','N','331190','','731020'
'627','2','10','15','N','331191','','731020'
'628','3','15','20','N','331192','','731020'
'629','4','20','25','N','331844','','731020'
'630','5','25','30','N','331845','','731020'
'631','6','30','999','N','331846','','731020'
'632','1','20','25','N','331848','','731021'
'633','2','25','30','N','331849','','731021'
'634','3','30','999','N','331850','','731021'
'635','1','20','25','N','331852','','731022'
'636','2','25','30','N','331853','','731022'
'637','3','30','999','N','331854','','731022'
'638','1','5','10','N','331208','','731023'
'639','2','10','15','N','331209','','731023'
'640','3','15','20','N','331210','','731023'
'641','4','20','25','N','331856','','731023'
'642','5','25','30','N','331857','','731023'
'643','6','30','999','N','331858','','731023'
'644','1','20','25','N','331860','','731024'
'645','2','25','30','N','331861','','731024'
'646','3','30','999','N','331862','','731024'
'647','1','20','25','N','331864','','731025'
'648','2','25','30','N','331865','','731025'
'649','3','30','999','N','331866','','731025'
'650','1','5','10','N','331226','','731030'
'651','2','10','15','N','331227','','731030'
'652','3','15','20','N','331228','','731030'
'653','4','20','25','N','331868','','731030'
'654','5','25','30','N','331869','','731030'
'655','6','30','999','N','331870','','731030'
'656','1','20','25','N','331874','','731031'
'657','2','25','30','N','331875','','731031'
'658','3','30','999','N','331876','','731031'
'659','1','5','10','N','331238','','731032'
'660','2','10','15','N','331239','','731032'
'661','3','15','20','N','331240','','731032'
'662','4','20','25','N','331880','','731032'
'663','5','25','30','N','331881','','731032'
'664','6','30','999','N','331882','','731032'
'665','1','20','25','N','331886','','731033'
'666','2','25','30','N','331887','','731033'
'667','3','30','999','N','331888','','731033'
'668','1','2','5','N','331248','','731040'
'669','2','5','10','N','331892','','731040'
'670','3','10','15','N','331893','','731040'
'671','4','15','20','N','331894','','731040'
'672','5','20','25','N','331895','','731040'
'673','6','25','999','N','331896','','731040'
'674','1','5','10','N','331898','','731041'
'675','2','10','15','N','331899','','731041'
'676','3','15','20','N','331900','','731041'
'677','4','20','25','N','331901','','731041'
'678','5','25','999','N','331902','','731041'
'679','1','2','5','N','331260','','731042'
'680','2','5','10','N','331904','','731042'
'681','3','10','15','N','331905','','731042'
'682','4','15','20','N','331906','','731042'
'683','5','20','25','N','331907','','731042'
'684','6','25','999','N','331908','','731042'
'685','1','5','10','N','331910','','731043'
'686','2','10','15','N','331911','','731043'
'687','3','15','20','N','331912','','731043'
'688','4','20','25','N','331913','','731043'
'689','5','25','999','N','331914','','731043'
'690','1','5','10','N','331272','','731050'
'691','2','10','15','N','331273','','731050'
'692','3','15','20','N','331274','','731050'
'693','4','20','25','N','331916','','731050'
'694','5','25','30','N','331917','','731050'
'695','6','30','999','N','331918','','731050'
'696','1','20','25','N','331922','','731051'
'697','2','25','30','N','331923','','731051'
'698','3','30','999','N','331924','','731051'
'699','1','5','10','N','331284','','731052'
'700','2','10','15','N','331285','','731052'
'701','3','15','20','N','331286','','731052'
'702','4','20','25','N','331928','','731052'
'703','5','25','30','N','331929','','731052'
'704','6','30','999','N','331930','','731052'
'705','1','20','25','N','331934','','731053'
'706','2','25','30','N','331935','','731053'
'707','3','30','999','N','331936','','731053'
'708','1','2','5','N','331296','','731060'
'709','2','5','10','N','331940','','731060'
'710','3','10','15','N','331941','','731060'
'711','4','15','20','N','331942','','731060'
'712','5','20','25','N','331943','','731060'
