hatKennzeichnung,gehoertZuTatbestandBE
'3','120172','2002-01-01-00.00.00.0000'
'3','120131','2002-01-01-00.00.00.0000'
'3','120166','2002-01-01-00.00.00.0000'
'3','120161','2002-01-01-00.00.00.0000'
'3','120160','2002-01-01-00.00.00.0000'
'3','120155','2002-01-01-00.00.00.0000'
'3','120154','2002-01-01-00.00.00.0000'
'3','120138','2002-01-01-00.00.00.0000'
'3','120137','2002-01-01-00.00.00.0000'
'3','120136','2002-01-01-00.00.00.0000'
'3','120621','2002-01-01-00.00.00.0000'
'3','120173','2002-01-01-00.00.00.0000'
'3','141636','2002-01-01-00.00.00.0000'
'3','141648','2002-01-01-00.00.00.0000'
'3','141647','2002-01-01-00.00.00.0000'
'3','141646','2002-01-01-00.00.00.0000'
'3','141645','2002-01-01-00.00.00.0000'
'3','141642','2002-01-01-00.00.00.0000'
'3','141641','2002-01-01-00.00.00.0000'
'3','141640','2002-01-01-00.00.00.0000'
'3','141639','2002-01-01-00.00.00.0000'
'3','141651','2002-01-01-00.00.00.0000'
'3','141637','2002-01-01-00.00.00.0000'
'3','141654','2002-01-01-00.00.00.0000'
'3','141241','2002-01-01-00.00.00.0000'
'3','141240','2002-01-01-00.00.00.0000'
'3','141239','2002-01-01-00.00.00.0000'
'3','141238','2002-01-01-00.00.00.0000'
'3','141237','2002-01-01-00.00.00.0000'
'3','141236','2002-01-01-00.00.00.0000'
'3','141234','2002-01-01-00.00.00.0000'
'3','141233','2002-01-01-00.00.00.0000'
'3','141231','2002-01-01-00.00.00.0000'
'3','141638','2002-01-01-00.00.00.0000'
'3','141666','2002-01-01-00.00.00.0000'
'3','103650','2002-01-01-00.00.00.0000'
'3','118645','2002-01-01-00.00.00.0000'
'3','141678','2002-01-01-00.00.00.0000'
'3','141677','2002-01-01-00.00.00.0000'
'3','141676','2002-01-01-00.00.00.0000'
'3','141675','2002-01-01-00.00.00.0000'
'3','141671','2002-01-01-00.00.00.0000'
'3','141670','2002-01-01-00.00.00.0000'
'3','141669','2002-01-01-00.00.00.0000'
'3','141649','2002-01-01-00.00.00.0000'
'3','141667','2002-01-01-00.00.00.0000'
'3','141650','2002-01-01-00.00.00.0000'
'3','141665','2002-01-01-00.00.00.0000'
'3','141664','2002-01-01-00.00.00.0000'
'3','141663','2002-01-01-00.00.00.0000'
'3','141660','2002-01-01-00.00.00.0000'
'3','141659','2002-01-01-00.00.00.0000'
'3','141658','2002-01-01-00.00.00.0000'
'3','141657','2002-01-01-00.00.00.0000'
'3','141656','2002-01-01-00.00.00.0000'
'3','141227','2002-01-01-00.00.00.0000'
'3','141668','2002-01-01-00.00.00.0000'
'3','120793','2002-01-01-00.00.00.0000'
'3','141230','2002-01-01-00.00.00.0000'
'3','120808','2002-01-01-00.00.00.0000'
'3','120807','2002-01-01-00.00.00.0000'
'3','120806','2002-01-01-00.00.00.0000'
'3','120805','2002-01-01-00.00.00.0000'
'3','120804','2002-01-01-00.00.00.0000'
'3','120803','2002-01-01-00.00.00.0000'
'3','120802','2002-01-01-00.00.00.0000'
'3','120796','2002-01-01-00.00.00.0000'
'3','120815','2002-01-01-00.00.00.0000'
'3','120794','2002-01-01-00.00.00.0000'
'3','120816','2002-01-01-00.00.00.0000'
'3','120792','2002-01-01-00.00.00.0000'
'3','120791','2002-01-01-00.00.00.0000'
'3','120790','2002-01-01-00.00.00.0000'
'3','120784','2002-01-01-00.00.00.0000'
'3','120783','2002-01-01-00.00.00.0000'
'3','120782','2002-01-01-00.00.00.0000'
'3','120781','2002-01-01-00.00.00.0000'
'3','120780','2002-01-01-00.00.00.0000'
'3','120779','2002-01-01-00.00.00.0000'
'3','120795','2002-01-01-00.00.00.0000'
'3','120831','2002-01-01-00.00.00.0000'
'3','120778','2002-01-01-00.00.00.0000'
'3','141225','2002-01-01-00.00.00.0000'
'3','141224','2002-01-01-00.00.00.0000'
'3','141220','2002-01-01-00.00.00.0000'
'3','141219','2002-01-01-00.00.00.0000'
'3','141218','2002-01-01-00.00.00.0000'
'3','141216','2002-01-01-00.00.00.0000'
'3','141215','2002-01-01-00.00.00.0000'
'3','141213','2002-01-01-00.00.00.0000'
'3','120814','2002-01-01-00.00.00.0000'
'3','120832','2002-01-01-00.00.00.0000'
'3','141228','2002-01-01-00.00.00.0000'
'3','120830','2002-01-01-00.00.00.0000'
'3','120829','2002-01-01-00.00.00.0000'
'3','120828','2002-01-01-00.00.00.0000'
'3','120827','2002-01-01-00.00.00.0000'
'3','120826','2002-01-01-00.00.00.0000'
'3','120820','2002-01-01-00.00.00.0000'
'3','120819','2002-01-01-00.00.00.0000'
'3','120818','2002-01-01-00.00.00.0000'
'3','120817','2002-01-01-00.00.00.0000'
'3','141212','2002-01-01-00.00.00.0000'
'3','103678','2002-01-01-00.00.00.0000'
'3','103697','2002-01-01-00.00.00.0000'
'3','103696','2002-01-01-00.00.00.0000'
'3','103690','2002-01-01-00.00.00.0000'
'3','103689','2002-01-01-00.00.00.0000'
'3','103688','2002-01-01-00.00.00.0000'
'3','103687','2002-01-01-00.00.00.0000'
'3','103686','2002-01-01-00.00.00.0000'
'3','103685','2002-01-01-00.00.00.0000'
'3','103739','2002-01-01-00.00.00.0000'
'3','103679','2002-01-01-00.00.00.0000'
'3','103700','2002-01-01-00.00.00.0000'
'3','103677','2002-01-01-00.00.00.0000'
'3','103676','2002-01-01-00.00.00.0000'
'3','103675','2002-01-01-00.00.00.0000'
